Rec 1 - Personalness,Rec 2 - Personalness,Rec 3 - Personalness,Rec 4 - Personalness,Rec 5 - Personalness,Rec 1 - Meaningfulness,Rec 2 - Meaningfulness,Rec 3 - Meaningfulness,Rec 4 - Meaningfulness,Rec 5 - Meaningfulness,Rec 1 - Supportiveness,Rec 2 - Supportiveness,Rec 3 - Supportiveness,Rec 4 - Supportiveness,Rec 5 - Supportiveness
1.0,2.0,3.0,6.0,6.0,1.0,1.0,2.0,5.0,6.0,1.0,1.0,2.0,3.0,5.0
2.0,5.0,7.0,3.0,5.0,2.0,3.0,7.0,5.0,3.0,1.0,5.0,7.0,5.0,2.0
2.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0
2.0,3.0,5.0,7.0,6.0,2.0,2.0,5.0,7.0,7.0,1.0,2.0,7.0,6.0,7.0
5.0,1.0,6.0,1.0,1.0,2.0,2.0,5.0,5.0,6.0,4.0,1.0,6.0,1.0,4.0
4.0,6.0,5.0,6.0,6.0,1.0,2.0,7.0,6.0,7.0,1.0,1.0,6.0,5.0,7.0
1.0,3.0,5.0,5.0,5.0,2.0,2.0,5.0,7.0,4.0,4.0,4.0,6.0,1.0,1.0
4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0
1.0,1.0,6.0,3.0,6.0,2.0,1.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0
2.0,2.0,7.0,5.0,5.0,1.0,1.0,6.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0
6.0,6.0,3.0,6.0,3.0,4.0,6.0,1.0,6.0,3.0,5.0,6.0,5.0,6.0,6.0
