Recording,Variable,Mean,SD,Variance
1,Personalness,2.73,1.74,3.02
2,Personalness,3.36,1.86,3.45
3,Personalness,5.0,1.41,2.0
4,Personalness,4.64,1.75,3.05
5,Personalness,4.45,1.75,3.07
1,Meaningfulness,2.09,1.04,1.09
2,Meaningfulness,2.45,1.63,2.67
3,Meaningfulness,4.45,2.34,5.47
4,Meaningfulness,5.64,1.21,1.45
5,Meaningfulness,4.91,1.81,3.29
1,Supportiveness,2.45,1.69,2.87
2,Supportiveness,2.73,1.9,3.62
3,Supportiveness,5.27,1.85,3.42
4,Supportiveness,3.82,2.14,4.56
5,Supportiveness,4.45,2.16,4.67
